Класс;Семейство;Род;Вид;Сорт;Круг
Хвойные;Сосновые;Ель;Обыкновенная;Aureospicata;circle_1
Хвойные;Сосновые;Туя;Западная;Brobeck's Tower;circle_2
Хвойные;Сосновые;Ель;Сербская;Peve Tijn;circle_3
Хвойные;Кипарисовые;Метасеквойя;Глиптостробовидная;Gold Rush;circle_4
Хвойные;Сосновые;Сосна;Гибрид;Wiethorst?;circle_5
Хвойные;Сосновые;Сосна;Кедровая Европейская;Aurea;circle_6
Хвойные;Сосновые;Ель ;Сербская;Nana;circle_7
Хвойные;Сосновые;Сосна;Веймутова;Веймутова;circle_8
Хвойные;Сосновые;Ель;Обыкновенная;Virgata;circle_9
Лиственные;Бобовые;Церцис;Европейский;Багрянник;circle_10
Кустарник;Маслиновые;Сирень;Мейера;Palibin;circle_11
Лиственные;Розовые;Рябина;Рябина смешанная;Dodong;circle_12
Лиственные;Кленовые;Клен;Остролистный;Marit;circle_13
